matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts	part 0	part 1	part 2	part 3	part 4	part 5	part 6	part 7	part 8	part 9	part 10	part 11	part 12	part 13	part 14	part 15
rail4284.real	1096894	1048128.07	63695.83	45168.56	70.91	227936.32	56171.23	53409.03	53662.45	54439.39	53739.8	50592.48	51922.73	48835.46	47188.19	44978.98	44663.19	45431.9	47245.01	47172.69	91744.44
pwtk.sorted	217918	12927.05	78.8	169.14	214.64	81.36	42.27	2.15	298.31	650.09	3.88	2.07	35.09	3.17	2.1	23.82	4.26	2.49	75.1	3.29	31.44
crankseg_2.sorted	63838	55268.93	2804.49	2948.68	105.14	302.18	557.1	6445.64	6911.61	1495.02	655.35	966.03	616.0	377.38	736.49	1040.95	802.87	3667.93	9241.95	5825.35	5229.95
TSOPF_RS_b300_c3.sorted	42138	25564.97	970.05	2751.35	283.63	177.76	40.7	6.48	6.1	5.92	5039.42	5.9	5.91	5.89	5.89	39.79	5.89	5.89	5.89	5.89	10157.43
shipsec1.sorted	140874	6462.67	59.78	114.08	190.84	2.08	13.32	11.05	12.91	62.92	2.08	2.08	74.17	13.97	11.98	62.19	2.08	2.08	197.51	41.65	444.4
consph.sorted	83334	5817.66	297.65	647.51	217.55	5.09	112.39	16.68	151.88	12.25	1939.82	24.83	280.06	6.7	7.04	1951.31	6.1	110.58	17.7	82.45	37.44
webbase-1M.sorted	1000005	152463.66	9401.74	36071.85	383.67	144619.7	4050.87	185.76	668.95	33.62	32.57	40.38	256.29	9.48	13.59	18.05	19.48	21.53	38.04	49.11	370.35
mip1.sorted	66463	39232.11	1888.32	4762.51	252.21	16962.44	10414.34	418.7	402.88	495.77	121.21	90.45	300.09	62.88	84.6	47.56	60.53	53.35	38.69	50.25	609.41
rma10.sorted	46835	8794.27	317.08	506.27	159.67	6.75	17.43	60.32	23.56	31.63	44.81	35.47	1196.63	1703.52	337.44	950.3	115.22	126.66	155.9	87.79	179.8
cant.sorted	62451	537.33	23.29	29.39	126.19	2.71	2.55	7.39	7.7	9.8	30.87	76.12	8.06	12.49	5.36	16.88	33.41	109.53	5.34	20.49	23.99
conf5_4-8x8-15.real	49152	12027.03	672.45	1699.83	252.78	1.0	4742.73	1.0	1.0	523.09	1.0	1.0	89.64	1.0	1.0	32.31	1.0	1.0	89.64	1.0	5271.83
pdb1HYS.sorted	36417	4731.94	235.77	210.02	89.08	453.95	366.19	244.14	181.29	226.56	136.01	90.76	103.48	81.03	112.78	127.38	143.82	189.46	183.69	202.99	928.75
bbmat.sorted	38744	1158.22	63.05	101.17	160.46	335.21	44.98	49.25	123.23	3.38	2.97	36.98	249.87	2.21	2.27	2.17	2.2	2.32	2.63	3.29	145.89
raefsky3.sorted	21200	1403.45	5.3	5.26	99.41	2.93	2.93	3.07	2.93	3.07	17.98	2.98	2.93	2.93	2.93	17.89	3.07	2.93	2.93	2.93	10.33
mc2depi.real	525825	705.75	29.51	117.79	399.1	471.21	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mac_econ_fwd500.sorted	206500	393.99	18.43	40.03	217.2	126.81	109.27	20.21	32.12	1.17	1.02	1.58	2.28	0.03	0.04	0.01	0.01	0.02	0.0	0.02	0.3
scircuit.sorted	170998	50829.59	2511.13	6796.69	270.66	26515.14	9203.17	1780.35	1556.04	96.27	103.86	74.83	660.43	8.75	7.45	12.92	8.24	8.17	24.9	7.02	110.51
cop20k_A.sorted	121192	75509.28	3174.62	5488.41	172.88	1389.39	2690.86	1213.12	1558.44	21307.58	3696.86	4422.39	10317.45	239.35	230.55	260.51	269.43	246.12	254.01	272.66	2425.15
