matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
pdb1HYS	36417	36417	4344765	0.003276	18.0	204.0	119.305956	31.860384	18.0	204.0	119.305956	31.860384	0.709889	23.0	34475.0	4731.941346	7253.122625	0.000632	0.946673	0.129938	0.199169	0.000772	1.043478	0.150034	0.216718	28.12227	38000.347826	5463.80287	7892.201239	1.0	24.0	9.6782	3.768778	1.837758	0.931726	49.86081314086914
TSOPF_RS_b300_c3	42138	42138	4413449	0.002486	1.0	209.0	104.73798	102.443167	2.0	20702.0	104.73798	836.926799	0.995456	0.0	41537.0	25564.968959	7448.884503	0.0	0.985737	0.606696	0.176774	0.0	0.074534	0.003795	0.004017	0.0	3140.720497	159.901225	169.265307	1.0	14.0	4.008401	0.330582	1.923459	0.992154	50.668663024902344
Chebyshev4	68121	68121	5377761	0.001159	9.0	68121.0	78.944246	1061.43997	9.0	81.0	78.944246	7.409348	861.900125	1048.0	68120.0	3089.793103	8066.664814	0.015384	0.999985	0.045357	0.118417	0.00717	1.000015	0.020431	0.067944	488.439293	68122.003861	1391.751843	4628.42824	1.0	1305.0	43.577795	155.053711	0.895986	0.993706	61.8034553527832
consph	83334	83334	6010480	0.000865	1.0	81.0	72.125183	19.080194	1.0	81.0	72.125183	19.080194	0.123047	0.0	46481.0	5817.658039	8158.213926	0.0	0.557768	0.069811	0.097898	0.0	0.061927	0.024795	0.017117	0.0	5160.591743	2066.264616	1426.454329	1.0	22.0	10.337353	3.905898	1.71335	0.882633	69.10238265991211
shipsec1	140874	140874	7813404	0.000394	24.0	102.0	55.463776	11.074811	24.0	102.0	55.463776	11.074811	0.839038	35.0	10145.0	6462.671536	2686.37883	0.000248	0.072015	0.045876	0.019069	0.003325	1.028571	0.013074	0.025057	468.383021	144898.971429	1841.761259	3529.846407	1.0	14.0	7.976106	1.891557	1.712385	0.873444	89.95470809936523
PR02R	161070	161070	8185136	0.000315	1.0	92.0	50.81726	19.698285	5.0	88.0	50.81726	18.684762	0.810409	0.0	86727.0	6376.070044	10972.596814	0.0	0.538443	0.039586	0.068123	0.0	2.0	0.013177	0.036758	0.0	322140.0	2122.40705	5920.546064	1.0	31.0	18.305861	3.73662	1.279542	0.86886	94.28588485717773
mip1	66463	66463	10352819	0.002344	4.0	66395.0	155.768157	350.744318	4.0	66395.0	155.768157	350.744318	425.242445	9.0	66462.0	39232.105593	17336.60156	0.000135	0.999985	0.590285	0.260846	7.8e-05	1.111111	0.005713	0.033438	5.174795	73847.777778	379.725239	2222.411505	1.0	69.0	5.848939	3.351783	1.924902	0.96147	118.73215103149414
rail4284	4284	1096894	11284032	0.002401	2.0	56182.0	2633.994398	4209.259315	1.0	12.0	10.287258	1.882182	20.329582	18341.0	1096766.0	1048128.072829	122739.016219	0.016721	0.999883	0.955542	0.111897	2e-06	0.126528	0.002581	0.004568	2.007744	138788.055107	2831.193265	5011.133485	2.0	18787.0	558.054855	1290.594179	1.576267	0.269166	129.1518440246582
pwtk	217918	217918	11634424	0.000245	2.0	180.0	53.389	4.743895	2.0	180.0	53.389	4.743895	2.371481	2.0	189337.0	12927.04872	43749.108695	9e-06	0.868845	0.059321	0.200759	0.000131	1.041667	0.079324	0.089585	28.655982	226997.916667	17286.082977	19522.129345	1.0	14.0	3.247336	0.931623	1.878352	0.949809	133.97671127319336
crankseg_2	63838	63838	14148858	0.003472	48.0	3423.0	221.636925	95.875702	48.0	3423.0	221.636925	95.875702	14.444177	10146.0	62040.0	55268.929697	5174.304711	0.158934	0.971835	0.865769	0.081054	0.001064	0.059043	0.004035	0.001743	67.912766	3769.167296	257.614498	111.267382	3.0	126.0	29.754613	11.143435	1.731501	0.86687	162.16435623168945
Si41Ge41H72	185639	185639	15011265	0.000436	13.0	662.0	80.862669	126.971858	13.0	662.0	80.862669	126.971858	7.18672	323.0	54580.0	35928.14901	11148.921821	0.00174	0.294011	0.193538	0.060057	0.000518	0.040248	0.002166	0.002864	96.18601	7471.5387	402.106483	531.664814	6.0	114.0	29.523672	18.08683	1.269782	0.963174	172.49845504760742
TSOPF_RS_b2383	38120	38120	16171169	0.011128	2.0	983.0	424.217445	484.237499	2.0	16352.0	424.217445	1515.418669	1.317208	1.0	33353.0	18422.078646	7941.513913	2.6e-05	0.874948	0.483265	0.208329	0.00018	2.0	0.020027	0.067558	6.857348	76240.0	763.420132	2575.308823	1.0	20.0	4.262592	1.192243	1.979904	0.927411	185.2097625732422
in-2004	1382908	1382908	16917053	9e-06	0.0	7753.0	12.232956	37.23001	0.0	21866.0	12.232956	144.062001	632.779756	0.0	1353281.0	29733.208271	141807.554366	0.0	0.978576	0.0215	0.102543	0.0	2.0	0.203797	0.401708	0.0	2765816.0	281832.568461	555524.979628	0.0	1751.0	3.014303	6.105255	1.507183	0.792656	198.8756866455078
Ga41As41H72	268096	268096	18488476	0.000257	18.0	702.0	68.962148	105.387553	18.0	702.0	68.962148	105.387553	9.179497	4796.0	69927.0	46185.569304	14188.879104	0.017889	0.260828	0.172273	0.052925	0.000402	0.014461	0.00148	0.001862	107.670878	3876.892084	396.799033	499.203387	9.0	119.0	28.136007	15.400206	1.184016	0.969575	212.60652542114258
eu-2005	862664	862664	19235140	2.6e-05	0.0	6985.0	22.297372	29.333411	1.0	68922.0	22.297372	307.419431	312.265619	0.0	850640.0	214717.956458	268163.051086	0.0	0.986062	0.248901	0.310855	0.0	2.0	0.0346	0.193349	0.0	1725328.0	29848.188109	166795.343639	0.0	932.0	7.460388	10.914604	1.330828	0.760172	223.41951370239258
wikipedia-20051105	1634989	1634989	19753078	7e-06	0.0	4970.0	12.081475	31.074978	0.0	75547.0	12.081475	207.155263	410.373626	0.0	1634906.0	555995.135871	622110.380516	0.0	0.999949	0.34006	0.380498	0.0	2.0	0.000418	0.023624	0.0	3269978.0	682.886775	38625.065445	0.0	4866.0	11.676153	28.654732	0.067098	0.070929	232.29302978515625
ldoor	952203	952203	46522475	5.1e-05	28.0	77.0	48.857728	11.946572	28.0	77.0	48.857728	11.946572	0.576005	41.0	687560.0	194446.245461	186757.937616	4.3e-05	0.722073	0.204207	0.196132	4.5e-05	0.759036	0.005105	0.028128	42.803404	722756.493976	4860.686616	26783.476333	2.0	12.0	4.965412	1.384628	1.79674	0.906047	536.0398445129395
circuit5M	5558326	5558326	59524291	2e-06	1.0	1290501.0	10.709032	1356.616274	1.0	1290501.0	10.709032	1356.616274	120504.849643	0.0	5558122.0	2793149.880317	1421933.857606	0.0	0.999963	0.502516	0.255821	0.0	2.0	0.000555	0.024686	0.0	11116652.0	3087.428069	137210.281197	1.0	615.0	5.004734	19.141252	1.065325	0.942768	702.40478515625
bone010	986703	986703	71666325	7.4e-05	12.0	81.0	72.632114	15.81043	12.0	81.0	72.632114	15.81043	0.115209	104.0	25952.0	17931.371404	5193.136685	0.000105	0.026302	0.018173	0.005263	0.001397	0.168224	0.004305	0.0015	1378.130281	165987.420561	4247.955279	1480.273124	2.0	9.0	8.358324	1.395719	1.769845	0.915136	823.919979095459
cage15	5154859	5154859	99199551	4e-06	3.0	47.0	19.243892	5.736719	3.0	47.0	19.243892	5.736719	1.442333	1844.0	3460749.0	1092607.234343	671828.330078	0.000358	0.671357	0.211957	0.130329	4e-06	0.005943	3.4e-05	9.5e-05	18.533412	30633.954079	177.729485	491.9504	2.0	46.0	17.343093	5.561528	0.197548	0.794106	1154.912998199463
