matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg
bcspwr07	1612	1612	5824	0.002241	2.000000	13.000000	3.612903	1.612692	2.000000	13.000000	3.612903	1.612692	2.598214	1.000000	1493.000000	107.294665	212.369176	0.000620	0.926179	0.066560	0.131743	0.001552	2.000000	0.409906	0.639936	2.501164	3224.000000	660.768180	1031.577047	1.000000	11.000000	2.915012	1.368594	0.386332	0.518294
bcspwr08	1624	1624	6050	0.002294	2.000000	14.000000	3.725369	1.708338	2.000000	14.000000	3.725369	1.708338	2.758017	1.000000	1543.000000	115.213670	218.917597	0.000616	0.950123	0.070944	0.134801	0.001537	2.000000	0.406280	0.633039	2.496541	3248.000000	659.798666	1028.055474	1.000000	10.000000	3.000000	1.457104	0.389421	0.510220
bcspwr09	1723	1723	6511	0.002193	2.000000	15.000000	3.778874	1.736694	2.000000	15.000000	3.778874	1.736694	2.969436	1.000000	1689.000000	719.675566	432.796150	0.000580	0.980267	0.417688	0.251188	0.001203	2.000000	0.112987	0.417814	2.072159	3446.000000	194.676882	719.893158	1.000000	12.000000	3.361579	1.598704	0.220857	0.435035
bcspwr10	5300	5300	21842	0.000778	2.000000	14.000000	4.121132	1.442236	2.000000	14.000000	4.121132	1.442236	2.397125	2.000000	5251.000000	2842.488868	1175.482694	0.000377	0.990755	0.536319	0.221789	0.000385	1.500000	0.005616	0.050699	2.042783	7950.000000	29.762269	268.704546	1.000000	14.000000	3.988679	1.349586	0.064280	0.302018
bcsstk01	48	48	400	0.173611	5.000000	12.000000	8.333333	1.624466	5.000000	12.000000	8.333333	1.624466	0.440000	24.000000	47.000000	33.854167	5.184068	0.500000	0.979167	0.705295	0.108001	0.142857	0.333333	0.249333	0.048447	6.857143	16.000000	11.967981	2.325452	3.000000	9.000000	6.125000	1.378783	0.530000	0.874732
bcsstk02	66	66	4356	1.000000	66.000000	66.000000	66.000000	0.000000	66.000000	66.000000	66.000000	0.000000	0.000000	65.000000	65.000000	65.000000	0.000000	0.984848	0.984848	0.984848	0.000000	1.015385	1.015385	1.015385	0.000000	67.015385	67.015385	67.015385	0.000000	1.000000	1.000000	1.000000	0.000000	1.969697	0.984848
bcsstk03	112	112	640	0.051020	4.000000	6.000000	5.714286	0.589015	4.000000	6.000000	5.714286	0.589015	0.050000	5.000000	11.000000	9.714286	1.435697	0.044643	0.098214	0.086735	0.012819	0.454545	0.800000	0.597320	0.077574	50.909091	89.600000	66.899856	8.688282	2.000000	4.000000	3.428571	0.562429	0.800000	0.951190
bcsstk04	132	132	3648	0.209366	15.000000	46.000000	27.636364	10.750104	15.000000	46.000000	27.636364	10.750104	0.664474	27.000000	71.000000	55.053030	11.660159	0.204545	0.537879	0.417068	0.088335	0.254237	0.687500	0.495429	0.121989	33.559322	90.750000	65.396687	16.102550	5.000000	14.000000	8.121212	2.089042	1.412281	0.905392
bcsstk05	153	153	2423	0.103507	4.000000	24.000000	15.836601	5.112406	4.000000	24.000000	15.836601	5.112406	0.515477	4.000000	43.000000	30.856209	7.329249	0.026144	0.281046	0.201675	0.047904	0.263158	1.000000	0.524814	0.152246	40.263158	153.000000	80.296518	23.293596	2.000000	8.000000	4.281046	1.470661	1.459348	0.793948
bcsstk06	420	420	7860	0.044558	2.000000	28.000000	18.714286	6.465608	2.000000	28.000000	18.714286	6.465608	0.496183	3.000000	89.000000	69.997619	28.988544	0.007143	0.211905	0.166661	0.069020	0.154762	1.125000	0.344894	0.224890	65.000000	472.500000	144.855596	94.453794	1.000000	10.000000	5.483333	1.887858	1.413995	0.871775
bcsstk07	420	420	7860	0.044558	2.000000	28.000000	18.714286	6.465608	2.000000	28.000000	18.714286	6.465608	0.496183	3.000000	89.000000	69.997619	28.988544	0.007143	0.211905	0.166661	0.069020	0.154762	1.125000	0.344894	0.224890	65.000000	472.500000	144.855596	94.453794	1.000000	10.000000	5.483333	1.887858	1.413995	0.871775
bcsstk08	1074	1074	12960	0.011236	1.000000	339.000000	12.067039	21.074780	1.000000	339.000000	12.067039	21.074780	27.093056	0.000000	1008.000000	395.989758	173.073979	0.000000	0.938547	0.368706	0.161149	0.000000	0.714286	0.035839	0.054416	0.000000	767.142857	38.490580	58.442650	1.000000	166.000000	9.313780	13.868404	0.456327	0.736259
bcsstk09	1083	1083	18437	0.015719	6.000000	23.000000	17.024007	4.088289	6.000000	23.000000	17.024007	4.088289	0.351033	60.000000	122.000000	115.331487	17.581206	0.055402	0.112650	0.106493	0.016234	0.084034	0.246154	0.149029	0.032667	91.008403	266.584615	161.398184	35.378050	3.000000	12.000000	8.712835	2.316127	0.976406	0.928344
bcsstk10	1086	1086	22070	0.018713	6.000000	27.000000	20.322284	5.618406	6.000000	27.000000	20.322284	5.618406	0.328591	24.000000	72.000000	68.219153	7.434542	0.022099	0.066298	0.062817	0.006846	0.158730	0.500000	0.297275	0.072060	172.380952	543.000000	322.840342	78.256801	4.000000	10.000000	7.919890	1.481634	1.220571	0.858846
bcsstk11	1473	1473	34241	0.015781	2.000000	33.000000	23.245757	6.736080	2.000000	33.000000	23.245757	6.736080	0.419614	51.000000	653.000000	181.391718	184.871572	0.034623	0.443313	0.123144	0.125507	0.003584	0.354839	0.200300	0.092422	5.279570	522.677419	295.041689	136.137947	2.000000	7.000000	3.771894	1.247225	1.675477	0.881541
bcsstk12	1473	1473	34241	0.015781	2.000000	33.000000	23.245757	6.736080	2.000000	33.000000	23.245757	6.736080	0.419614	51.000000	653.000000	181.391718	184.871572	0.034623	0.443313	0.123144	0.125507	0.003584	0.354839	0.200300	0.092422	5.279570	522.677419	295.041689	136.137947	2.000000	7.000000	3.771894	1.247225	1.675477	0.881541
bcsstk13	2003	2003	83883	0.020908	5.000000	95.000000	41.878682	22.804291	5.000000	95.000000	41.878682	22.804291	1.268457	11.000000	1709.000000	445.674488	377.854467	0.005492	0.853220	0.222503	0.188644	0.008481	0.921053	0.172128	0.153890	16.987664	1844.868421	344.771870	308.240721	2.000000	28.000000	13.096355	5.485987	1.374557	0.799008
bcsstk14	1806	1806	63454	0.019455	1.000000	48.000000	35.135105	9.549864	1.000000	48.000000	35.135105	9.549864	0.366155	0.000000	311.000000	213.110742	83.603802	0.000000	0.172204	0.118002	0.046292	0.000000	0.872340	0.195528	0.123969	0.000000	1575.446809	353.122702	223.888482	1.000000	16.000000	6.853821	2.673173	1.609859	0.888490
bcsstk15	3948	3948	117816	0.007559	1.000000	44.000000	29.841945	7.645041	1.000000	44.000000	29.841945	7.645041	0.474435	0.000000	833.000000	522.697822	172.734385	0.000000	0.210993	0.132396	0.043752	0.000000	0.827586	0.069041	0.055910	0.000000	3267.310345	272.575737	220.733192	1.000000	32.000000	13.111449	5.555718	1.121274	0.807592
bcsstk16	4884	4884	290378	0.012173	1.000000	81.000000	59.454955	17.314567	1.000000	81.000000	59.454955	17.314567	0.362376	0.000000	272.000000	247.788084	37.496955	0.000000	0.055692	0.050735	0.007678	0.000000	0.323741	0.235080	0.061797	0.000000	1581.151079	1148.131416	301.814153	1.000000	15.000000	7.636568	2.421068	1.743114	0.904490
bcsstk17	10974	10974	428650	0.003559	1.000000	150.000000	39.060507	15.413562	1.000000	150.000000	39.060507	15.413562	2.840196	0.000000	965.000000	524.898943	209.625831	0.000000	0.087935	0.047831	0.019102	0.000000	0.797872	0.078323	0.042953	0.000000	8755.851064	859.513475	471.370559	1.000000	20.000000	7.813377	4.184006	1.599935	0.868596
bcsstk18	11948	11948	149090	0.001044	1.000000	49.000000	12.478239	7.624501	1.000000	49.000000	12.478239	7.624501	2.926836	0.000000	2463.000000	976.234265	657.314415	0.000000	0.206143	0.081707	0.055015	0.000000	0.750000	0.021883	0.047129	0.000000	8961.000000	261.456186	563.099720	1.000000	31.000000	10.375042	6.505003	0.337098	0.721926
bcsstk19	817	817	6853	0.010267	2.000000	11.000000	8.388005	2.306396	2.000000	11.000000	8.388005	2.306396	0.311396	3.000000	651.000000	178.129743	156.950102	0.003672	0.796818	0.218029	0.192105	0.007407	1.125000	0.372701	0.437958	6.051852	919.125000	304.496892	357.811831	1.000000	6.000000	2.887393	1.268023	1.311542	0.851092
bcsstk20	485	485	3135	0.013328	2.000000	11.000000	6.463918	2.359722	2.000000	11.000000	6.463918	2.359722	0.701754	1.000000	32.000000	17.428866	7.822357	0.002062	0.065979	0.035936	0.016129	0.100000	2.000000	0.443128	0.239081	48.500000	970.000000	214.917122	115.954064	1.000000	6.000000	3.581443	1.097357	0.891866	0.831598
bcsstk21	3600	3600	26600	0.002052	4.000000	9.000000	7.388889	1.128366	4.000000	9.000000	7.388889	1.128366	0.218045	120.000000	245.000000	234.376667	28.607115	0.033333	0.068056	0.065105	0.007946	0.020833	0.055118	0.031960	0.005813	75.000000	198.425197	115.056809	20.926485	3.000000	9.000000	6.744444	1.272453	0.174436	0.847345
bcsstk22	138	138	696	0.036547	2.000000	8.000000	5.043478	1.844968	2.000000	8.000000	5.043478	1.844968	0.586207	2.000000	114.000000	29.217391	28.844345	0.014493	0.826087	0.211720	0.209017	0.026667	1.500000	0.408112	0.319216	3.680000	207.000000	56.319462	44.051770	1.000000	4.000000	3.202899	0.723913	0.729885	0.841296
bcsstk23	3134	3134	45178	0.004600	2.000000	31.000000	14.415444	4.866668	2.000000	31.000000	14.415444	4.866668	1.150471	142.000000	893.000000	672.289726	209.206488	0.045310	0.284939	0.214515	0.066754	0.004505	0.105634	0.023301	0.010676	14.117117	331.056338	73.026793	33.458770	2.000000	23.000000	11.203574	3.780940	0.445615	0.852922
bcsstk24	3562	3562	159910	0.012603	15.000000	57.000000	44.893318	11.486382	15.000000	57.000000	44.893318	11.486382	0.269677	16.000000	3351.000000	1312.630264	1294.249978	0.004492	0.940764	0.368509	0.363349	0.007299	1.058824	0.192241	0.268019	26.000000	3771.529412	684.763051	954.684738	1.000000	8.000000	3.561482	1.230238	1.841336	0.933941
bcsstk25	15439	15439	252241	0.001058	2.000000	59.000000	16.337910	7.080506	2.000000	59.000000	16.337910	7.080506	2.611233	7.000000	552.000000	359.787486	83.162984	0.000453	0.035754	0.023304	0.005387	0.006772	0.857143	0.048486	0.029420	104.553047	13233.428571	748.579662	454.217555	2.000000	26.000000	10.533972	3.719032	0.710487	0.796728
bcsstk26	1922	1922	30336	0.008212	3.000000	33.000000	15.783559	5.693798	3.000000	33.000000	15.783559	5.693798	1.090783	16.000000	437.000000	220.039542	123.537709	0.008325	0.227367	0.114485	0.064276	0.007246	0.882353	0.120441	0.121230	13.927536	1695.882353	231.487069	233.004233	2.000000	15.000000	7.197711	2.459756	1.087948	0.857948
bcsstk27	1224	1224	56126	0.037463	15.000000	54.000000	45.854575	9.793293	15.000000	54.000000	45.854575	9.793293	0.177636	14.000000	96.000000	80.498366	10.168274	0.011438	0.078431	0.065767	0.008307	0.379747	1.071429	0.572070	0.106432	464.810127	1311.428571	700.213198	130.272997	1.000000	5.000000	2.975490	0.389050	1.870221	0.941065
bcsstk28	4410	4410	219024	0.011262	16.000000	94.000000	49.665306	9.681762	16.000000	94.000000	49.665306	9.681762	0.892669	19.000000	785.000000	363.766893	139.044332	0.004308	0.178005	0.082487	0.031529	0.044415	1.052632	0.176335	0.137140	195.868102	4642.105263	777.635861	604.786323	1.000000	12.000000	4.013605	1.445392	1.838374	0.926158
bcsstk29	13992	13992	619488	0.003164	5.000000	71.000000	44.274443	15.641011	5.000000	71.000000	44.274443	15.641011	0.603634	4.000000	1865.000000	1041.520655	493.148755	0.000286	0.133290	0.074437	0.035245	0.016051	1.250000	0.066072	0.123604	224.590690	17490.000000	924.479525	1729.467722	1.000000	16.000000	5.867424	2.211434	1.734952	0.894449
bcsstk30	28924	28924	2043492	0.002443	4.000000	219.000000	70.650394	31.723145	4.000000	219.000000	70.650394	31.723145	2.099770	10.000000	17227.000000	1428.826027	2182.528974	0.000346	0.595595	0.049399	0.075457	0.000708	1.030303	0.195650	0.203420	20.483210	29800.484848	5658.980896	5883.732420	1.000000	55.000000	9.898147	5.281850	1.719799	0.881219
bcsstk31	35588	35588	1181416	0.000933	2.000000	189.000000	33.197033	15.176916	2.000000	189.000000	33.197033	15.176916	4.693280	6.000000	2547.000000	1269.588597	493.795084	0.000169	0.071569	0.035675	0.013875	0.001576	0.755556	0.033894	0.038410	56.102995	26888.711111	1206.212040	1366.943990	2.000000	32.000000	10.613297	5.055704	1.360588	0.828105
bcsstk32	44609	44609	2014701	0.001012	2.000000	216.000000	45.163554	15.485043	2.000000	216.000000	45.163554	15.485043	3.782617	8.000000	43033.000000	4788.181286	9079.529958	0.000179	0.964671	0.107337	0.203536	0.000227	1.125000	0.177579	0.224174	10.121795	50185.125000	7921.607718	10000.174575	1.000000	56.000000	6.564864	4.947986	1.709285	0.903411
bcsstk33	8738	8738	591904	0.007752	20.000000	141.000000	67.739071	16.106915	20.000000	141.000000	67.739071	16.106915	1.081517	77.000000	1421.000000	813.527237	244.435580	0.008812	0.162623	0.093102	0.027974	0.026374	1.007143	0.095838	0.056398	230.452747	8800.414286	837.431905	492.802178	1.000000	27.000000	10.204509	4.195955	1.698711	0.891185
bcsstm01	48	48	48	0.020833	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.979167
bcsstm02	66	66	66	0.015152	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.984848
bcsstm03	112	112	112	0.008929	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.991071
bcsstm04	132	132	132	0.007576	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.992424
bcsstm05	153	153	153	0.006536	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.993464
bcsstm06	420	420	420	0.002381	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.997619
bcsstm07	420	420	7252	0.041111	2.000000	26.000000	17.266667	6.062793	2.000000	26.000000	17.266667	6.062793	0.505792	3.000000	89.000000	69.985714	28.995727	0.007143	0.211905	0.166633	0.069037	0.136364	1.125000	0.324930	0.223843	57.272727	472.500000	136.470710	94.013918	1.000000	10.000000	6.161905	2.114007	1.286266	0.856035
bcsstm08	1074	1074	1074	0.000931	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999069
bcsstm09	1083	1083	1083	0.000923	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999077
bcsstm10	1086	1086	22092	0.018732	6.000000	27.000000	20.342541	5.618682	6.000000	27.000000	20.342541	5.618682	0.327268	24.000000	72.000000	68.219153	7.434542	0.022099	0.066298	0.062817	0.006846	0.158730	0.500000	0.297568	0.072035	172.380952	543.000000	323.158671	78.230070	4.000000	10.000000	7.912523	1.481217	1.222071	0.858775
bcsstm11	1473	1473	1473	0.000679	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999321
bcsstm12	1473	1473	19659	0.009061	2.000000	22.000000	13.346232	5.163019	2.000000	22.000000	13.346232	5.163019	0.648405	51.000000	652.000000	180.181942	184.858966	0.034623	0.442634	0.122323	0.125498	0.003584	0.229508	0.116831	0.062254	5.279570	338.065574	172.091505	91.700713	2.000000	11.000000	7.965377	1.964940	0.806348	0.872557
bcsstm13	2003	2003	21943	0.005469	1.000000	70.000000	10.955067	15.970766	1.000000	70.000000	10.955067	15.970766	5.389737	0.000000	720.000000	110.532701	179.261216	0.000000	0.359461	0.055184	0.089496	0.000000	0.450704	0.040229	0.071438	0.000000	902.760563	80.579472	143.091187	1.000000	36.000000	7.241138	9.728171	0.678029	0.889350
bcsstm19	817	817	817	0.001224	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.998776
bcsstm20	485	485	485	0.002062	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.997938
bcsstm21	3600	3600	3600	0.000278	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999722
bcsstm22	138	138	138	0.007246	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.992754
bcsstm23	3134	3134	3134	0.000319	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999681
bcsstm24	3562	3562	3562	0.000281	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999719
bcsstm25	15439	15439	15439	0.000065	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999935
bcsstm26	1922	1922	1922	0.000520	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.999480
