matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
GD01_b	18	18	37	0.114198	2.0	3.0	2.055556	0.229061	1.0	3.0	2.055556	0.62113	0.459459	1.0	13.0	4.388889	2.710861	0.055556	0.722222	0.243827	0.150603	0.153846	2.0	0.709605	0.527481	2.769231	36.0	12.772894	9.494662	1.0	2.0	1.888889	0.31427	0.162162	0.518519	0.00049591064453125
farm	7	17	41	0.344538	1.0	11.0	5.857143	3.642157	1.0	4.0	2.411765	1.286071	0.878049	0.0	14.0	9.857143	4.389226	0.0	0.823529	0.579832	0.25819	0.0	0.846154	0.475249	0.274232	0.0	14.384615	8.079226	4.66195	1.0	6.0	2.857143	1.726149	1.02439	0.521645	0.000499725341796875
mycielskian4	11	11	40	0.330579	3.0	5.0	3.636364	0.642824	3.0	5.0	3.636364	0.642824	0.375	4.0	10.0	7.909091	1.729663	0.363636	0.909091	0.719008	0.157242	0.3	1.25	0.51324	0.261607	3.3	13.75	5.645635	2.877677	1.0	4.0	2.909091	0.899954	0.4	0.727273	0.0005035400390625
Tina_DisCal	11	11	41	0.338843	1.0	6.0	3.727273	1.354515	0.0	8.0	3.727273	2.377581	0.609756	0.0	9.0	4.909091	2.644189	0.0	0.818182	0.446281	0.240381	0.0	2.0	0.805556	0.466959	0.0	22.0	8.861111	5.136549	1.0	4.0	2.454545	0.890724	0.682927	0.572727	0.000514984130859375
kleemin	8	16	44	0.34375	2.0	9.0	5.5	2.291288	1.0	8.0	2.75	2.384848	0.636364	8.0	8.0	8.0	0.0	0.5	0.5	0.5	0.0	0.25	1.125	0.6875	0.286411	4.0	18.0	11.0	4.582576	1.0	2.0	1.875	0.330719	1.318182	0.875	0.000537872314453125
LFAT5	14	14	46	0.234694	2.0	5.0	3.285714	1.030158	2.0	5.0	3.285714	1.030158	0.521739	2.0	9.0	6.0	2.236068	0.142857	0.642857	0.428571	0.159719	0.375	1.5	0.603175	0.268122	5.25	21.0	8.444444	3.753702	1.0	3.0	2.428571	0.6227	0.521739	0.808333	0.000583648681640625
Tina_DisCog	11	11	48	0.396694	2.0	8.0	4.363636	1.553455	1.0	8.0	4.363636	2.226809	0.833333	1.0	9.0	6.272727	2.561637	0.090909	0.818182	0.570248	0.232876	0.444444	2.0	0.82215	0.406709	4.888889	22.0	9.043651	4.473798	1.0	4.0	2.909091	0.792527	0.666667	0.650758	0.0005950927734375
cage4	9	9	49	0.604938	5.0	6.0	5.444444	0.496904	5.0	6.0	5.444444	0.496904	0.102041	4.0	8.0	6.333333	1.333333	0.444444	0.888889	0.703704	0.148148	0.714286	1.25	0.892857	0.172516	6.428571	11.25	8.035714	1.552648	1.0	3.0	2.444444	0.684935	1.102041	0.848148	0.000598907470703125
jgl009	9	9	50	0.617284	3.0	9.0	5.555556	1.949992	2.0	8.0	5.555556	1.77082	0.62	5.0	8.0	6.555556	1.422916	0.555556	0.888889	0.728395	0.158102	0.375	1.125	0.869048	0.256436	3.375	10.125	7.821429	2.307928	1.0	3.0	2.111111	0.737028	1.24	0.861111	0.0006103515625
GD98_a	38	38	50	0.034626	0.0	11.0	1.315789	2.472004	0.0	7.0	1.315789	1.523591	7.36	0.0	30.0	4.210526	8.217945	0.0	0.789474	0.110803	0.216262	0.0	0.37931	0.069402	0.121489	0.0	14.413793	2.637275	4.616597	0.0	10.0	1.263158	2.279014	0.08	0.245644	0.000720977783203125
bcsstm01	48	48	48	0.020833	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.979167	0.000736236572265625
n3c4-b3	15	20	60	0.2	4.0	4.0	4.0	0.0	3.0	3.0	3.0	0.0	0.0	3.0	13.0	10.0	3.18329	0.15	0.65	0.5	0.159164	0.307692	1.333333	0.475818	0.263194	6.153846	26.666667	9.51635	5.263883	1.0	4.0	3.066667	0.85375	0.466667	0.783333	0.0007476806640625
n3c4-b2	20	15	60	0.2	3.0	3.0	3.0	0.0	4.0	4.0	4.0	0.0	0.0	2.0	11.0	6.65	2.574393	0.133333	0.733333	0.443333	0.171626	0.272727	1.5	0.548225	0.288845	4.090909	22.5	8.223377	4.332672	1.0	3.0	2.45	0.589491	0.366667	0.85	0.000766754150390625
klein-b2	20	30	60	0.1	3.0	3.0	3.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	20.0	10.85	5.275178	0.066667	0.666667	0.361667	0.175839	0.15	1.5	0.388015	0.299733	4.5	45.0	11.640451	8.991993	1.0	3.0	2.3	0.556776	0.466667	0.55	0.000766754150390625
GD95_a	36	36	57	0.043981	0.0	7.0	1.583333	1.255543	0.0	4.0	1.583333	0.862007	3.421053	0.0	32.0	4.222222	7.265256	0.0	0.888889	0.117284	0.201813	0.0	2.0	0.165406	0.355081	0.0	72.0	5.954616	12.782909	0.0	5.0	1.472222	0.957024	0.140351	0.314006	0.00079345703125
klein-b1	30	10	60	0.2	2.0	2.0	2.0	0.0	4.0	8.0	6.0	1.48324	0.0	1.0	9.0	3.566667	2.261022	0.1	0.9	0.356667	0.226102	0.222222	2.0	0.926376	0.677974	2.222222	20.0	9.263757	6.779742	1.0	2.0	1.733333	0.442217	0.266667	0.8	0.000804901123046875
Ragusa18	23	23	64	0.120983	0.0	7.0	2.782609	1.955072	0.0	12.0	2.782609	3.063907	1.515625	0.0	21.0	10.521739	8.88511	0.0	0.913043	0.457467	0.386309	0.0	0.357143	0.145601	0.129171	0.0	8.214286	3.348814	2.970934	0.0	5.0	2.391304	1.466707	0.28125	0.440703	0.000823974609375
lpi_bgprtr	20	40	70	0.0875	3.0	6.0	3.5	0.921954	1.0	4.0	1.75	0.887412	0.714286	8.0	36.0	22.95	8.145397	0.2	0.9	0.57375	0.203635	0.083333	0.375	0.182814	0.098392	3.333333	15.0	7.312544	3.935672	2.0	4.0	2.85	0.47697	0.371429	0.495833	0.000881195068359375
rgg010	10	10	76	0.76	4.0	10.0	7.6	1.959592	3.0	10.0	7.6	2.727636	0.315789	9.0	9.0	9.0	0.0	0.9	0.9	0.9	0.0	0.444444	1.111111	0.844444	0.217732	4.444444	11.111111	8.444444	2.177324	1.0	4.0	2.2	0.979796	1.421053	0.9	0.000911712646484375
jgl011	11	11	76	0.628099	4.0	11.0	6.909091	2.77831	3.0	10.0	6.909091	2.466302	0.592105	4.0	10.0	8.0	2.486326	0.363636	0.909091	0.727273	0.22603	0.4	1.25	0.919697	0.316107	4.4	13.75	10.116667	3.477174	1.0	3.0	1.545455	0.655555	1.552632	0.85	0.00091552734375
wheel_3_1	21	25	74	0.140952	1.0	4.0	3.52381	0.731538	2.0	3.0	2.96	0.195959	0.135135	0.0	16.0	12.095238	4.196424	0.0	0.64	0.48381	0.167857	0.0	0.5	0.29445	0.113027	0.0	12.5	7.361256	2.825674	1.0	4.0	3.095238	0.609821	0.243243	0.535714	0.0009307861328125
bcsstm02	66	66	66	0.015152	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.984848	0.001010894775390625
LF10	18	18	82	0.253086	3.0	5.0	4.555556	0.684935	3.0	5.0	4.555556	0.684935	0.097561	2.0	5.0	4.444444	0.955814	0.111111	0.277778	0.246914	0.053101	1.0	1.5	1.055556	0.157135	18.0	27.0	19.0	2.828427	1.0	2.0	1.888889	0.31427	1.170732	0.863889	0.001010894775390625
Ragusa16	24	24	81	0.140625	0.0	9.0	3.375	2.766052	0.0	11.0	3.375	3.133322	1.666667	0.0	21.0	10.5	7.858117	0.0	0.875	0.4375	0.327422	0.0	1.0	0.247555	0.229741	0.0	24.0	5.941321	5.51378	0.0	5.0	2.375	1.628202	0.592593	0.546157	0.0010223388671875
problem	12	46	86	0.155797	2.0	10.0	7.166667	2.640497	1.0	2.0	1.869565	0.336781	0.395349	1.0	15.0	11.666667	4.496913	0.021739	0.326087	0.253623	0.097759	0.4	2.0	0.78174	0.455585	18.4	92.0	35.960062	20.95689	1.0	3.0	2.25	0.721688	1.372093	0.45	0.001033782958984375
Stranke94	10	10	90	0.9	9.0	9.0	9.0	0.0	9.0	9.0	9.0	0.0	0.0	8.0	9.0	8.8	0.4	0.8	0.9	0.88	0.04	1.0	1.125	1.025	0.05	10.0	11.25	10.25	0.5	1.0	2.0	1.8	0.4	1.6	0.9	0.001071929931640625
GD02_a	23	23	87	0.164461	0.0	15.0	3.782609	3.525763	0.0	10.0	3.782609	2.570003	2.965517	0.0	21.0	10.043478	8.301274	0.0	0.913043	0.436673	0.360925	0.0	1.0	0.293179	0.25953	0.0	23.0	6.74312	5.969193	0.0	7.0	2.869565	1.940514	0.482759	0.3677	0.001087188720703125
ch4-4-b3	24	96	96	0.041667	4.0	4.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	8.0	56.0	29.0	13.332292	0.083333	0.583333	0.302083	0.138878	0.071429	0.5	0.174957	0.094917	6.857143	48.0	16.795877	9.112041	3.0	3.0	3.0	0.0	0.5	0.21875	0.001194000244140625
n3c5-b1	45	10	90	0.2	2.0	2.0	2.0	0.0	9.0	9.0	9.0	0.0	0.0	1.0	9.0	3.666667	2.211083	0.1	0.9	0.366667	0.221108	0.222222	2.0	0.857319	0.618241	2.222222	20.0	8.573192	6.182413	1.0	2.0	1.8	0.4	0.2	0.911111	0.0012054443359375
Hamrle1	32	32	98	0.095703	2.0	5.0	3.0625	1.170937	2.0	5.0	3.0625	1.143938	0.632653	1.0	28.0	8.0	8.25	0.03125	0.875	0.25	0.257812	0.071429	2.0	0.861235	0.66274	2.285714	64.0	27.559524	21.207668	1.0	4.0	1.84375	0.939061	0.795918	0.659375	0.001247406005859375
lp_afiro	27	51	102	0.074074	2.0	10.0	3.777778	1.812167	1.0	4.0	2.0	1.084652	1.647059	2.0	40.0	22.111111	11.43851	0.039216	0.784314	0.433551	0.224285	0.071429	1.5	0.322179	0.366465	3.642857	76.5	16.43112	18.689725	1.0	4.0	2.62963	0.674847	0.607843	0.612787	0.00127410888671875
p0033	15	48	113	0.156944	3.0	20.0	7.533333	5.30241	1.0	5.0	2.354167	1.421408	1.654867	18.0	40.0	28.466667	7.079234	0.375	0.833333	0.593056	0.147484	0.105263	0.512821	0.25209	0.118691	5.052632	24.615385	12.10033	5.697172	2.0	7.0	3.8	1.514376	0.99115	0.525589	0.001354217529296875
GD95_b	73	73	96	0.018015	0.0	20.0	1.315068	3.293317	0.0	7.0	1.315068	1.15719	14.208333	0.0	40.0	2.39726	8.128657	0.0	0.547945	0.032839	0.111351	0.0	2.0	0.098502	0.363041	0.0	146.0	7.190651	26.501973	0.0	8.0	0.821918	1.275077	0.75	0.184441	0.00138092041015625
n4c5-b11	10	120	120	0.1	12.0	12.0	12.0	0.0	1.0	1.0	1.0	0.0	0.0	19.0	100.0	72.2	26.843249	0.158333	0.833333	0.601667	0.223694	0.12	0.631579	0.216572	0.151213	14.4	75.789474	25.988608	18.145571	7.0	9.0	8.6	0.663325	0.566667	0.1	0.001415252685546875
rel4	66	12	104	0.131313	0.0	4.0	1.575758	1.859135	0.0	20.0	8.666667	6.749486	1.538462	0.0	7.0	1.969697	2.40561	0.0	0.583333	0.164141	0.200468	0.0	1.0	0.35974	0.441962	0.0	12.0	4.316883	5.303542	0.0	3.0	0.969697	1.167355	0.769231	0.889881	0.001445770263671875
football	35	35	118	0.096327	0.0	10.0	3.371429	2.889248	0.0	18.0	3.371429	5.121862	1.966102	0.0	32.0	11.828571	11.816419	0.0	0.914286	0.337959	0.337612	0.0	2.0	0.304771	0.408897	0.0	70.0	10.666975	14.311394	0.0	8.0	2.885714	2.493092	0.288136	0.610195	0.00148773193359375
wheel_4_1	36	41	122	0.082656	1.0	5.0	3.388889	0.979733	2.0	3.0	2.97561	0.154257	0.47541	0.0	25.0	18.805556	7.370434	0.0	0.609756	0.458672	0.179767	0.0	0.666667	0.209449	0.131766	0.0	27.333333	8.587414	5.402416	1.0	5.0	3.083333	0.829156	0.180328	0.443519	0.001537322998046875
ibm32	32	32	126	0.123047	2.0	8.0	3.9375	1.367879	2.0	7.0	3.9375	1.367879	1.031746	5.0	30.0	18.71875	6.662556	0.15625	0.9375	0.584961	0.208205	0.083333	0.6	0.232828	0.097805	2.666667	19.2	7.45049	3.129748	2.0	6.0	3.40625	0.995596	0.269841	0.422917	0.001567840576171875
p0040	23	63	133	0.091787	5.0	11.0	5.782609	2.020687	1.0	3.0	2.111111	0.910453	0.902256	25.0	44.0	35.086957	5.586576	0.396825	0.698413	0.556936	0.088676	0.113636	0.282051	0.166521	0.050809	7.159091	17.769231	10.490849	3.20096	2.0	11.0	3.173913	3.03103	0.902256	0.704348	0.001613616943359375
bcspwr01	39	39	131	0.086128	2.0	6.0	3.358974	0.999671	2.0	6.0	3.358974	0.999671	0.78626	2.0	38.0	14.666667	10.03413	0.051282	0.974359	0.376068	0.257285	0.071429	1.5	0.442285	0.430016	2.785714	58.5	17.249123	16.770635	1.0	4.0	2.153846	0.621762	0.717557	0.65812	0.001651763916015625
GlossGT	72	72	122	0.023534	0.0	5.0	1.694444	1.174248	0.0	17.0	1.694444	3.251661	1.95082	0.0	65.0	18.930556	22.716444	0.0	0.902778	0.262924	0.315506	0.0	1.0	0.074404	0.148955	0.0	72.0	5.357053	10.724732	0.0	5.0	1.666667	1.154701	0.032787	0.152778	0.001674652099609375
GD01_c	33	33	135	0.123967	0.0	12.0	4.090909	3.47601	0.0	10.0	4.090909	2.895803	1.933333	0.0	24.0	5.606061	6.835466	0.0	0.727273	0.169881	0.207135	0.0	1.5	0.554679	0.499515	0.0	49.5	18.304399	16.484001	0.0	7.0	2.181818	1.833271	0.933333	0.789683	0.001674652099609375
bcsstm03	112	112	112	0.008929	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.991071	0.001712799072265625
mycielskian5	23	23	142	0.268431	4.0	11.0	6.173913	1.925846	4.0	11.0	6.173913	1.925846	0.78169	10.0	22.0	19.434783	2.699856	0.434783	0.956522	0.844991	0.117385	0.181818	1.1	0.34403	0.19907	4.181818	25.3	7.91268	4.578618	1.0	8.0	4.608696	1.811536	0.507042	0.751449	0.00171661376953125
Trec7	11	36	147	0.371212	3.0	23.0	13.363636	5.431771	0.0	9.0	4.083333	1.876388	0.721088	2.0	27.0	18.272727	7.110695	0.055556	0.75	0.507576	0.197519	0.473684	1.5	0.802858	0.262793	17.052632	54.0	28.902881	9.460543	1.0	7.0	4.909091	1.831767	1.265306	0.823421	0.001728057861328125
lpi_woodinfe	35	89	140	0.044944	1.0	6.0	4.0	1.242118	1.0	2.0	1.573034	0.494637	0.5	0.0	81.0	50.028571	17.992833	0.0	0.910112	0.562119	0.202167	0.0	0.153846	0.078032	0.030872	0.0	13.692308	6.944875	2.74763	1.0	6.0	4.0	1.242118	0.0	0.150476	0.001739501953125
Trefethen_20b	19	19	147	0.407202	6.0	9.0	7.736842	0.848659	6.0	9.0	7.736842	0.848659	0.163265	10.0	18.0	14.0	2.655679	0.526316	0.947368	0.736842	0.139773	0.375	0.7	0.572803	0.118373	7.125	13.3	10.883252	2.249083	3.0	5.0	4.052632	0.510282	0.952381	0.934942	0.001758575439453125
refine	29	62	153	0.085095	3.0	31.0	5.275862	4.982013	1.0	5.0	2.467742	1.573139	4.875817	13.0	59.0	33.862069	11.822609	0.209677	0.951613	0.546162	0.190687	0.056604	0.62	0.171265	0.123308	3.509434	38.44	10.618422	7.645126	2.0	5.0	2.551724	0.967977	1.03268	0.419281	0.001865386962890625
Trefethen_20	20	20	158	0.395	6.0	9.0	7.9	0.830662	6.0	9.0	7.9	0.830662	0.139241	12.0	18.0	14.9	2.467793	0.6	0.9	0.745	0.12339	0.375	0.666667	0.546732	0.112547	7.5	13.333333	10.934641	2.250938	4.0	5.0	4.2	0.4	0.936709	0.938194	0.001888275146484375
lp_sc50b	50	78	148	0.037949	1.0	5.0	2.96	0.82365	1.0	4.0	1.897436	0.856195	0.689189	0.0	52.0	27.48	17.442752	0.0	0.666667	0.352308	0.223625	0.0	2.0	0.189388	0.279516	0.0	156.0	14.772262	21.802281	1.0	3.0	2.62	0.596322	0.22973	0.753667	0.001888275146484375
d_ss	53	53	149	0.053044	2.0	7.0	2.811321	1.028951	2.0	6.0	2.811321	1.028951	1.489933	1.0	49.0	15.849057	14.633119	0.018868	0.924528	0.299039	0.276097	0.040816	2.0	0.620761	0.701165	2.163265	106.0	32.90032	37.161762	1.0	3.0	2.132075	0.727823	0.483221	0.520171	0.001911163330078125
karate	34	34	156	0.134948	1.0	17.0	4.588235	3.820361	1.0	17.0	4.588235	3.820361	2.705128	0.0	33.0	15.117647	13.246009	0.0	0.970588	0.444637	0.389588	0.0	2.0	0.74982	0.734494	0.0	68.0	25.493882	24.972807	1.0	8.0	2.852941	1.896318	0.75641	0.527982	0.001918792724609375
ch4-4-b1	72	16	144	0.125	2.0	2.0	2.0	0.0	9.0	9.0	9.0	0.0	0.0	1.0	14.0	5.361111	3.392416	0.0625	0.875	0.335069	0.212026	0.142857	2.0	0.650363	0.568673	2.285714	32.0	10.405814	9.098764	1.0	2.0	1.875	0.330719	0.125	0.805556	0.001926422119140625
can_24	24	24	160	0.277778	4.0	9.0	6.666667	1.795055	4.0	9.0	6.666667	1.795055	0.35	12.0	23.0	17.791667	3.278454	0.5	0.958333	0.741319	0.136602	0.2	0.6	0.379499	0.09481	4.8	14.4	9.107976	2.275428	2.0	7.0	4.291667	1.135751	0.7125	0.62963	0.001926422119140625
bcsstm04	132	132	132	0.007576	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.992424	0.002017974853515625
lp_sc50a	50	78	160	0.041026	1.0	5.0	3.2	0.959166	1.0	5.0	2.051282	0.972671	0.5625	0.0	52.0	28.4	17.224401	0.0	0.666667	0.364103	0.220826	0.0	2.0	0.195561	0.277076	0.0	156.0	15.253719	21.611943	1.0	3.0	2.62	0.561783	0.3625	0.764667	0.002025604248046875
lap_25	25	25	169	0.2704	4.0	9.0	6.76	1.817251	4.0	9.0	6.76	1.817251	0.331361	6.0	12.0	9.6	2.497999	0.24	0.48	0.384	0.09992	0.545455	0.857143	0.71329	0.112071	13.636364	21.428571	17.832251	2.801776	2.0	3.0	2.6	0.489898	1.230769	0.873333	0.002033233642578125
bcspwr02	49	49	167	0.069554	2.0	7.0	3.408163	1.398518	2.0	7.0	3.408163	1.398518	1.053892	1.0	36.0	15.244898	12.456505	0.020408	0.734694	0.31112	0.254214	0.103448	2.0	0.577728	0.566894	5.068966	98.0	28.308683	27.777807	1.0	5.0	2.510204	1.012623	0.526946	0.637512	0.002101898193359375
bcsstm22	138	138	138	0.007246	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.992754	0.002109527587890625
GD99_c	105	105	149	0.013515	0.0	5.0	1.419048	1.336527	0.0	4.0	1.419048	0.687036	2.52349	0.0	94.0	13.12381	22.221266	0.0	0.895238	0.124989	0.211631	0.0	2.0	0.171026	0.394276	0.0	210.0	17.957723	41.398974	0.0	4.0	1.295238	1.202567	0.174497	0.220149	0.002109527587890625
pores_1	30	30	180	0.2	4.0	8.0	6.0	1.154701	2.0	10.0	6.0	2.280351	0.333333	10.0	20.0	14.466667	3.947432	0.333333	0.666667	0.482222	0.131581	0.3	0.583333	0.429444	0.083679	9.0	17.5	12.883333	2.510383	2.0	4.0	2.6	0.663325	1.133333	0.790675	0.002178192138671875
